----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CREDENTIAL ACCESS
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
T1003.003 NTDS	                                                    Atomic Test #1: Create Volume Shadow Copy with vssadmin [windows]                                                                                               Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with command_prompt! 
T1003.003 NTDS	                                                    Atomic Test #2: Copy NTDS.dit from Volume Shadow Copy [windows]                                                                                                 Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with command_prompt!
T1003.003 NTDS	                                                    Atomic Test #3: Dump Active Directory Database with NTDSUtil [windows]                                                                                          Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with command_prompt!
T1003.003 NTDS	                                                    Atomic Test #4: Create Volume Shadow Copy with WMI [windows]                                                                                                    Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with command_prompt!
T1003.003 NTDS	                                                    Atomic Test #5: Create Volume Shadow Copy remotely with WMI [windows]                                                                                           Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with command_prompt!                                                                                           
T1003.003 NTDS	                                                    Atomic Test #6: Create Volume Shadow Copy with Powershell [windows]                                                                                             Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with command_prompt!
T1003.003 NTDS	                                                    Atomic Test #7: Create Symlink to Volume Shadow Copy [windows]                                                                                                  Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1040 - Network Sniffing	                                        Atomic Test #3 - Packet Capture Windows Command Prompt                                                                                                          Attack Commands: Run with bash! Elevation Required (e.g. root or admin)                         Dependencies: Run with bash!
T1040 - Network Sniffing	                                        Atomic Test #4 - Windows Internal Packet Capture                                                                                                                Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with powershell!
T1003 OS Credential Dumping	                                        Atomic Test #1 - Gsecdump                                                                                                                                       Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with powershell!                                                                                           
T1003 OS Credential Dumping	                                        Atomic Test #2 - Credential Dumping with NPPSpy                                                                                                                 Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)                   Dependencies: Run with powershell!                                                                                    
T1003 OS Credential Dumping	                                        Atomic Test #3 - Dump svchost.exe to gather RDP credentials                                                                                                     Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)                                                                                           
T1110.002 Password Cracking	                                        Atomic Test #1: Password Cracking with Hashcat [windows]                                                                                                        Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1110.001 Password Guessing	                                        Atomic Test #1: Brute Force Credentials of single Active Directory domain users via SMB [windows]                                                               Attack Commands: Run with command_prompt
T1110.001 Password Guessing	                                        Atomic Test #2: Brute Force Credentials of single Active Directory domain user via LDAP against domain controller (NTLM or Kerberos) [windows]                  Attack Commands: Run with powershell
T1110.003 Password Spraying	                                        Atomic Test #1: Password Spray all Domain Users [windows]                                                                                                       Attack Commands: Run with command_prompt!                                                       Dependencies: Run with command_prompt
T1110.003 Password Spraying	                                        Atomic Test #2: Password Spray (DomainPasswordSpray) [windows]                                                                                                  Attack Commands: Run with powershell!
T1110.003 Password Spraying	                                        Atomic Test #3: Password spray all Active Directory domain users with a single password via LDAP against domain controller (NTLM or Kerberos) [windows]         Attack Commands: Run with powershell!
T1552.004 Private Keys	                                            Atomic Test #1: Private Keys [windows]                                                                                                                          Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)                                                                                                                          
T1552.004 Private Keys	                                            Atomic Test #6: ADFS token signing and encryption certificates theft - Local [windows]                                                                          Attack Commands: Run with sh!                                                                   Dependencies: Run with sh!
T1552.004 Private Keys	                                            Atomic Test #7: ADFS token signing and encryption certificates theft - Remote [windows]                                                                         Attack Commands: Run with sh!
T1003.002 Security Account Manager	                                Atomic Test #1: Registry dump of SAM, creds, and secrets [windows]                                                                                              Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1003.002 Security Account Manager	                                Atomic Test #2: Registry parse with pypykatz [windows]                                                                                                          Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with powershell!
T1003.002 Security Account Manager	                                Atomic Test #3: esentutl.exe SAM copy [windows]                                                                                                                 Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)   
T1003.002 Security Account Manager	                                Atomic Test #4: PowerDump Registry dump of SAM for hashes and usernames [windows]                                                                               Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)                   Dependencies: Run with powershell!
T1003.002 Security Account Manager	                                Atomic Test #5: dump volume shadow copy hives with certutil [windows]                                                                                           Attack Commands: Run with command_prompt!
T1003.002 Security Account Manager	                                Atomic Test #6: dump volume shadow copy hives with System.IO.File [windows]                                                                                     Attack Commands: Run with PowerShell
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
PRIVILEGE ESCALATION
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
T1546.008 Accessibility Features	                                Atomic Test #1: Attaches Command Prompt as a Debugger to a List of Target Processes [windows]                                                                   Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1546.008 Accessibility Features	                                Atomic Test #2 - Replace binary of sticky keys                                                                                                                  Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1546.010 AppInit DLLs	                                            Atomic Test #1: Install AppInit Shim [windows]                                                                                                                  Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with powershell!                                                                  
T1546.011 Application Shimming	                                    Atomic Test #1: Application Shim Installation [windows]                                                                                                         Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with powershell!
T1546.011 Application Shimming	                                    Atomic Test #2: New shim database files created in the default shim database directory [windows]                                                                Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1546.011 Application Shimming	                                    Atomic Test #3: Registry key creation and/or modification events for SDB [windows]                                                                              Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1055.004 Asynchronous Procedure Call	                            Atomic Test #1 - Process Injection via C#                                                                                                                       Attack Commands: Run with command_prompt                                                        Dependencies: Run with powershell!
T1053.002 At (Windows)	                                            Atomic Test #1: At.exe Scheduled task [windows]                                                                                                                 Attack Commands: Run with command_prompt!
T1548.002 Bypass User Account Control	                            Atomic Test #1: Bypass UAC using Event Viewer (cmd) [windows]                                                                                                   Attack Commands: Run with command_prompt!
T1548.002 Bypass User Account Control	                            Atomic Test #2: Bypass UAC using Event Viewer (PowerShell) [windows]                                                                                            Attack Commands: Run with powershell!
